epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1155,2.78438,5.96533,1.79817,0.00239,0.25,0.13847,0.10577,1.90173,4.93586,1.32428,0.0001429,0.0001429,0.0001429
2,90.7498,2.69596,4.49157,1.59764,0.0022,0.25,0.15048,0.12199,1.84278,4.58444,1.3035,0.000294148,0.000294148,0.000294148
3,135.829,2.6501,3.90425,1.48337,0.00252,0.25,0.12439,0.10191,1.74998,4.51195,1.31155,0.000439172,0.000439172,0.000439172
4,180.659,2.38497,3.76382,1.43175,0.00345,0.25,0.13938,0.11343,1.79778,4.35323,1.28878,0.00057797,0.00057797,0.00057797
5,226.748,2.33416,3.43705,1.38306,0.00328,0.25,0.14147,0.10628,1.88339,4.29381,1.29339,0.000710545,0.000710545,0.000710545
6,273.142,2.41389,3.32209,1.4486,0.00346,0.35,0.16206,0.09848,1.92327,4.41354,1.29783,0.000836894,0.000836894,0.000836894
7,319.082,2.29438,3.0471,1.36524,0.00422,0.45,0.13078,0.04891,2.0267,4.28728,1.41367,0.000957018,0.000957018,0.000957018
8,365.26,2.32008,3.08839,1.35776,0.59751,0.29044,0.37446,0.13596,1.8731,3.31865,1.38973,0.00107092,0.00107092,0.00107092
9,411.006,2.20294,2.91766,1.35374,0.38472,0.35,0.24083,0.09106,1.97086,3.62771,1.4379,0.00117859,0.00117859,0.00117859
10,456.9,2.19986,2.70102,1.28795,0.86844,0.28163,0.50303,0.18946,1.83806,2.97199,1.41641,0.00117435,0.00117435,0.00117435
11,502.642,2.18249,2.67626,1.29843,0.50582,0.44189,0.42873,0.17568,1.93971,2.89786,1.42395,0.00114606,0.00114606,0.00114606
12,548.596,2.04061,2.51796,1.26928,0.57014,0.55,0.49362,0.26621,1.67014,2.23883,1.25958,0.00111776,0.00111776,0.00111776
13,594.249,2.16046,2.43457,1.27976,0.61231,0.5,0.55743,0.27852,1.65563,2.25576,1.29089,0.00108947,0.00108947,0.00108947
14,639.944,2.1968,2.36376,1.30124,0.59553,0.65,0.61779,0.30568,1.64366,1.95652,1.22475,0.00106118,0.00106118,0.00106118
15,685.691,2.10849,2.37899,1.2712,0.57552,0.6,0.56236,0.27765,1.69626,2.05393,1.26557,0.00103288,0.00103288,0.00103288
16,731.362,1.99418,2.30094,1.22372,0.48236,0.6,0.54847,0.25361,1.8083,2.01339,1.32879,0.00100459,0.00100459,0.00100459
17,777.194,1.94096,2.09063,1.24269,0.70311,0.63067,0.55553,0.26918,1.70077,1.82416,1.26622,0.000976293,0.000976293,0.000976293
18,823.239,1.96982,2.18729,1.26178,0.53752,0.55552,0.56333,0.34043,1.57723,1.85708,1.21598,0.000947999,0.000947999,0.000947999
19,869.132,1.93867,2.0532,1.24323,0.58824,0.57519,0.55475,0.27298,1.66044,1.9791,1.22057,0.000919704,0.000919704,0.000919704
20,916.679,1.84665,1.97866,1.18038,0.73229,0.68298,0.72949,0.37685,1.75942,1.68927,1.23858,0.00089141,0.00089141,0.00089141
